amount,category,transaction_type
5000,Salary,income
250,Food,expense
120,Food,expense
80,Food,expense
450,Travel,expense
300,Travel,expense
1500,Rent,expense
100,Entertainment,expense
600,Shopping,expense
350,Shopping,expense
1200,Freelance,income
200,Medical,expense
75,Coffee,expense
180,Groceries,expense
450,Electricity,expense
250,Internet,expense
900,Investment,income
700,Insurance,expense
100,Fuel,expense
350,Gym,expense
150,Books,expense
220,Dining,expense
400,Clothing,expense
500,Bonus,income
180,Snacks,expense
